Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],2017 [YR2017]
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1000000:GROSS DOMESTIC PRODUCT,1000000,18.1904108206309,20.2200160724246
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101000:FOOD AND NON-ALCOHOLIC BEVERAGES,1101000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101100:FOOD,1101100,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101110:Bread and cereals,1101110,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101120:Meat,1101120,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101130:Fish and seafood,1101130,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101140:Milk, cheese and eggs",1101140,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101150:Oils and fats,1101150,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101160:Fruit,1101160,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101170:Vegetables,1101170,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101190:Food products n.e.c. (Class),1101190,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1101200:NON-ALCOHOLIC BEVERAGES,1101200,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",1102000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1102100:ALCOHOLIC BEVERAGES,1102100,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1102200:TOBACCO,1102200,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1103000:CLOTHING AND FOOTWEAR,1103000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1107000:TRANSPORT,1107000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1107100:PURCHASE OF VEHICLES,1107100,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1107300:TRANSPORT SERVICES,1107300,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1108000:COMMUNICATION,1108000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1111000:RESTAURANTS AND HOTELS,1111000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1113000:NET PURCHASES ABROAD,1113000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,1300000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,1400000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1500000:GROSS CAPITAL FORMATION,1500000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1501000:GROSS FIXED CAPITAL FORMATION,1501000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1501100:MACHINERY AND EQUIPMENT,1501100,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1501200:CONSTRUCTION,1501200,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1501300:OTHER PRODUCTS,1501300,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1502000:CHANGES IN INVENTORIES,1502000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category),1503000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,1600000:BALANCE OF EXPORTS AND IMPORTS,1600000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,..,..
